AACS	FOCAD
IGHMBP2	NEB
IGHMBP2	MTMR12
PLEKHO1	RING1
RING1	PPT2
SNAP25	ANXA6
GRIA2	SETD2
GRIA2	EPHA5
ATL2	LEPROTL1
ATL2	PDE12
ATL2	MRPL15
KIAA1958	LY6G5C
KIAA1958	LBH
LY6G5C	KIF15
LY6G5C	GALNT11
LY6G5C	OIP5
LY6G5C	B3GAT1
KIF15	CKAP2L
OIP5	GALNT2
OIP5	KDM4A
SBF1	HMG20A
SBF1	MTHFD2
HMG20A	CMIP
HMG20A	PIK3C2B
HMG20A	EYS
HMG20A	HOOK2
HMG20A	INTS8
HMG20A	MRPL38
CCDC28B	SLCO3A1
CCDC28B	DHX30
SLCO3A1	GAP43
SLCO3A1	STX2
PLTP	GATAD1
PLTP	FBXO36
GATAD1	EXOSC4
KIF3A	SLC4A8
AKR7A2	THUMPD2
AKR7A2	SORBS1
THUMPD2	KIAA1429
THUMPD2	LMO3
THUMPD2	SEPP1
KIAA1429	PARP16
KIAA1429	CDH4
KIAA1429	FBXW11
PARP16	LDB2
PARP16	ATP6V1E1
LDB2	ASH1L
LDB2	SEMA5B
LMO3	NUP93
SEPP1	SHISA5
SEPP1	FAM120AOS
SEPP1	MGMT
AKT1	ETF1
AKT1	MSL3
ETF1	LITAF
LITAF	GPC6
GPC6	SDHAF2
GPC6	CBL
SDHAF2	C12ORF24
DMXL1	PARG
SEC23B	RIOK3
ALCAM	THSD4
ALCAM	ALKBH1
ALCAM	TAF11
THSD4	CES2
THSD4	IBTK
THSD4	IER2
ALKBH1	MRPS31
CES2	C16ORF62
MRPS31	COPS7A
ASXL1	SUDS3
C16ORF62	PLOD1
C16ORF62	POLA1
PLOD1	PIK3C2B
CYB5B	MYBL2
IBTK	EPS15
IER2	CLSPN
IER2	CNOT10
LRCH1	CCDC41
PIK3C2B	ANKLE2
ANKLE2	EXD3
ANKLE2	SLC35E2
ALDH2	LYPLAL1
LYPLAL1	STK3
STK3	ERCC6
STK3	SETX
MAD2L2	PYURF
ERCC6	DBNDD1
ERCC6	KAZN
ERCC6	C12ORF65
ERCC6	EXOSC5
ERCC6	RAB34
ALDH7A1	PCTK1
PCTK1	MCAM
MCAM	EIF2AK4
FAR1	CXORF40A
RNF139	RALA
PHF8	CHTF18
COPS7A	THAP4
COPS7A	GEMIN8
COPS7A	PDXDC1
ALKBH7	MEF2A
ALMS1	POLR2H
MTMR9	NACC2
MTMR9	ANKRD42
MTMR9	PIM1
ANKRD50	NACC2
CLOCK	ANKRD42
KRBA2	C14ORF39
KRBA2	HPS5
KRBA2	PTPRM
STX16	STK17B
LDLRAD3	IMPAD1
ATG10	SAMD1
FBXL3	GRSF1
GRSF1	KAT2B
GRSF1	PSMA5
PIM1	MKNK1
AMOTL1	CMIP
AMOTL1	GGA2
CMIP	LRPAP1
GGA2	ARG2
LRPAP1	GUSB
LRPAP1	PIN1
LRPAP1	PIAS1
ARG2	SSSCA1
SSSCA1	SCAND1
ANAPC10	ATPBD4
ANAPC10	BMS1
ATPBD4	AURKB
ATPBD4	SCAMP1
BMS1	PARD3
AURKB	DDX20
AURKB	INA
AURKB	RAP2A
CTTN	PARD3
PARD3	FARS2
DDX20	ATMIN
ANAPC13	MPHOSPH10
MPHOSPH10	IGSF3
IGSF3	SMURF1
LEPROTL1	MTA3
PDE12	PELP1
MTA3	CAPN12
MTA3	CTPS2
FLJ35220	PQBP1
MTX2	GAREML
MTX2	IER3IP1
