HDAC7	SFRP1
HDAC7	SRP14
PIK3CA	FIGNL1
RBMX	CPSF6
CSNK1A1	HSP90AB1
RNF26	SLC25A40
DMXL2	FUT8
CREB5	NPIPA7
NPIPA7	DPY30
NPIPA7	NPIPA8
EIF4H	ADIPOR1
DCAF7	SNRPC
DCAF7	CENPE
ASPM	AKR1B1
ASPM	BRD8
AKR1B1	PSMG3
AKR1B1	KPNA2
PDE8B	CKAP2
PDE8B	ACD
PDE8B	ELK4
PDE8B	STOM
CKAP2	C9ORF142
CKAP2	GGNBP2
CKAP2	LAMTOR1
TBPL1	RNF157
RNF157	AMOTL2
RNF157	FAR1
RNF157	CMC1
AASDH	COX15
AASDH	TAF15
COX15	GATS
COX15	RNF38
AKT3	RNF38
GATS	CFL2
GATS	SNX4
GATS	FAM49A
LDLRAD3	IFT80
IFT80	CPNE2
BTBD8	SNX4
BTBD8	PAQR7
BTBD8	SNAP23
CFL2	RANBP6
CFL2	KIAA1033
PAQR7	CCNT1
SNAP23	SUPT5H
SNAP23	REPIN1
SUPT5H	RNF213
CPNE2	EZH1
AASDHPPT	NDUFA4
AASDHPPT	BNIP2
NDUFA4	TINF2
NDUFA4	DNAJB14
C11ORF73	PIK3C2A
PIK3C2A	JDP2
DMD	NFATC4
NFATC4	BBS2
NFATC4	PLXNC1
NFATC4	ANKFY1
ING3	ASF1B
ING3	ATP5F1
ASF1B	SEC14L1
TINF2	FLOT2
CFL1	EIF5A
EIF5A	PPFIA1
EIF5A	EIF5AL1
NAV1	MRPS14
NAV1	EVL
MRPS14	TBRG4
MRPS14	NCOA6
PMPCB	CLUAP1
PMPCB	RBMX2
PMPCB	DDX1
PMPCB	NDUFS2
CLUAP1	SRM
CLUAP1	MAN2C1
AP4S1	RUSC1
AP4S1	BCL7B
AP4S1	BCL11A
RUSC1	ARL5A
RUSC1	SLC23A2
JDP2	DDX27
JDP2	SCAMP2
PSMC4	MRPS9
PSMC4	COX4I1
PSMC4	MDK
MRPS9	FLOT1
BBS2	OAT
BBS2	PSMD11
C22ORF39	INTS8
C22ORF39	POLI
INTS8	PARL
INTS8	BCL7B
INTS8	MOAP1
CNDP2	SCAMP2
CNDP2	CYB5A
SCAMP2	RAB34
SCAMP2	TBRG4
SCAMP2	MMS19
SCAMP2	FLOT1
SCAMP2	IDH3A
DHDDS	OAT
OAT	DMTF1
FLOT1	KIAA0907
PLXNC1	MMS19
PLXNC1	SUV39H2
MMS19	MT2A
