NRIP1	FEZ2
PDGFD	DRAM2
SRPK2	C2ORF29
DUS4L	KCTD15
PREB	PIGL
RSU1	ACN9
FAM190B	FEZ2
FEZ2	SNRNP35
TDG	C17ORF42
TDG	NHSL1
GPRASP1	RAB23
RAB23	DNAJA4
FNBP1	CDKN2AIP
CDKN2AIP	PFKL
EIF3D	PCYT1B
NFATC2IP	DNMT3A
